Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2018,139,PM2.5,Donovan,06-073-1014,AQS,11,54,0,.,139,33
1/2/2018,94,PM2.5,Donovan,06-073-1014,AQS,15,48,0,48,94,47
1/3/2018,94,PM2.5,Chula Vista,06-073-0001,AQS,14,40,0,.,94,42
1/4/2018,76,PM2.5,Donovan,06-073-1014,AQS,15,44,0,.,76,49
1/5/2018,78,PM2.5,Donovan,06-073-1014,AQS,16,35,0,26,78,43
1/6/2018,82,PM2.5,Donovan,06-073-1014,AQS,11,35,0,.,82,45
1/7/2018,67,PM2.5,Donovan,06-073-1014,AQS,14,39,0,.,67,28
1/8/2018,68,PM2.5,Donovan,06-073-1014,AQS,14,36,0,51,68,41
1/9/2018,46,PM2.5,Pala Airpad,06-073-1201,AQS,10,44,0,.,46,21
1/10/2018,41,Ozone,La Posta Reservation,06-073-1011,AQS,10,41,0,.,40,24
1/11/2018,49,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,13,42,0,19,49,32
1/12/2018,76,PM2.5,Camp Pendleton,06-073-1008,AQS,14,44,0,.,76,38
1/13/2018,56,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,44,0,.,56,36
1/14/2018,51,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,50,0,15,51,32
1/15/2018,59,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,10,51,0,.,59,34
1/16/2018,64,PM2.5,Camp Pendleton,06-073-1008,AQS,10,54,0,.,64,30
1/17/2018,88,PM2.5,Camp Pendleton,06-073-1008,AQS,14,48,0,33,88,49
1/18/2018,72,PM2.5,Camp Pendleton,06-073-1008,AQS,14,44,0,.,72,36
1/19/2018,63,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,42,0,.,63,27
1/20/2018,68,PM2.5,Pala Airpad,06-073-1201,AQS,6,43,0,29,68,28
1/21/2018,55,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,41,1,.,55,25
1/22/2018,52,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,39,0,.,52,36
1/23/2018,56,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,42,0,21,56,41
1/24/2018,51,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,41,.,.,51,43
1/25/2018,47,PM2.5,Donovan,06-073-1014,AQS,10,40,0,.,47,32
1/26/2018,47,PM2.5,Camp Pendleton,06-073-1008,AQS,10,43,0,25,47,35
1/27/2018,63,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,44,0,.,63,42
1/28/2018,54,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,43,0,.,54,33
1/29/2018,40,Ozone,Alpine,06-073-1006,AQS,8,40,0,17,33,38
1/30/2018,41,NO2,Chula Vista,06-073-0001,AQS,13,39,0,.,37,41
1/31/2018,59,PM2.5,Donovan,06-073-1014,AQS,13,47,0,.,59,47
2/1/2018,71,Ozone,Donovan,06-073-1014,AQS,15,71,0,42,63,52
2/2/2018,71,PM2.5,Camp Pendleton,06-073-1008,AQS,15,50,0,27,71,48
2/3/2018,101,Ozone,Kearny Villa Rd.,06-073-1016,AQS,15,101,0,.,83,38
2/4/2018,101,Ozone,Kearny Villa Rd.,06-073-1016,AQS,13,101,0,26,64,39
2/5/2018,84,Ozone,Alpine,06-073-1006,AQS,13,84,0,.,64,37
2/6/2018,70,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,10,50,0,.,70,27
2/7/2018,71,PM2.5,Camp Pendleton,06-073-1008,AQS,13,49,0,27,71,51
2/8/2018,62,PM2.5,Camp Pendleton,06-073-1008,AQS,13,51,0,.,62,48
2/9/2018,101,Ozone,La Posta Reservation,06-073-1011,AQS,13,101,0,.,75,37
2/10/2018,80,Ozone,La Posta Reservation,06-073-1011,AQS,10,80,0,28,63,25
2/11/2018,87,PM2.5,La Posta Reservation,06-073-1011,AQS,9,48,0,.,87,19
2/12/2018,66,PM2.5,Pala Airpad,06-073-1201,AQS,8,44,0,.,66,15
2/13/2018,51,PM2.5,Pala Airpad,06-073-1201,AQS,8,44,0,19,51,30
2/14/2018,49,PM2.5,Donovan,06-073-1014,AQS,7,44,0,.,49,31
2/15/2018,48,Ozone,La Posta Reservation,06-073-1011,AQS,10,48,0,17,41,38
2/16/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,11,61,0,16,41,38
2/17/2018,58,Ozone,Alpine,06-073-1006,AQS,9,58,0,.,41,36
2/18/2018,51,PM2.5,Donovan,06-073-1014,AQS,8,44,0,.,51,26
2/19/2018,143,PM2.5,La Posta Reservation,06-073-1011,AQS,5,46,0,29,143,14
2/20/2018,53,PM2.5,La Posta Reservation,06-073-1011,AQS,8,47,0,.,53,32
2/21/2018,50,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,8,46,0,.,50,33
2/22/2018,45,Ozone,La Posta Reservation,06-073-1011,AQS,7,45,0,17,41,31
2/23/2018,48,Ozone,La Posta Reservation,06-073-1011,AQS,8,48,.,.,37,26
2/24/2018,54,Ozone,La Posta Reservation,06-073-1011,AQS,9,54,0,.,49,31
2/25/2018,54,Ozone,Camp Pendleton,06-073-1008,AQS,9,54,0,21,52,36
2/26/2018,64,Ozone,La Posta Reservation,06-073-1011,AQS,9,64,0,.,51,37
2/27/2018,45,Ozone,La Posta Reservation,06-073-1011,AQS,8,45,.,.,43,20
2/28/2018,48,Ozone,La Posta Reservation,06-073-1011,AQS,9,48,0,11,37,32
3/1/2018,54,Ozone,La Posta Reservation,06-073-1011,AQS,8,54,.,.,40,27
3/2/2018,42,Ozone,La Posta Reservation,06-073-1011,AQS,9,42,0,.,32,28
3/3/2018,46,Ozone,La Posta Reservation,06-073-1011,AQS,6,46,0,11,25,26
3/4/2018,49,Ozone,La Posta Reservation,06-073-1011,AQS,7,49,0,.,24,24
3/5/2018,51,Ozone,Alpine,06-073-1006,AQS,8,51,0,.,35,39
3/6/2018,54,Ozone,La Posta Reservation,06-073-1011,AQS,9,54,0,13,21,45
3/7/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,9,61,0,.,44,41
3/8/2018,71,Ozone,Alpine,06-073-1006,AQS,10,71,0,.,26,35
3/9/2018,50,Ozone,Alpine,06-073-1006,AQS,8,50,0,31,38,35
3/10/2018,61,PM2.5,Donovan,06-073-1014,AQS,7,33,0,.,61,25
3/11/2018,38,Ozone,La Posta Reservation,06-073-1011,AQS,7,38,0,.,36,10
